cringe, Cringe!!!!   [2020-09-14 22:48:29.424000]
based, Cringe!!!!!!!   [2020-09-14 22:48:17.973000]
sa1, Based.   [2020-09-14 22:16:57.919000]
human societies, Based!!!!!   [2020-09-14 22:16:08.384000]
r.bM_meter, Cringe!!!!!!   [2020-09-14 22:10:35.586000]
homestuck, Based.   [2020-09-14 22:10:16.003000]
_flane, Cringe......   [2020-09-14 22:09:44.161000]
startrek, Based....   [2020-09-14 22:02:23.048000]
I, Based!!!!!   [2020-09-14 22:00:50.076000]
ernie, Cringe!!   [2020-09-14 21:56:47.412000]
daily streaks, Based....   [2020-10-01 01:07:41.368000]
minecraft steve in smash brothers, Cringe!!!!!!!   [2020-10-01 18:05:24.406000]
calamity mod, Based....   [2020-10-01 18:22:25.916000]
Family Guy, Based!   [2020-10-01 18:27:57.722000]
Cactus, 48th president of the United States of America, Based!   [2020-10-01 23:07:37.446000]
updog, Based..   [2020-10-03 23:50:05.410000]
caves & cliffs update, Cringe......   [2020-10-03 23:50:26.480000]
combat revamp, Cringe....   [2020-10-03 23:50:38.054000]
minecraft, Cringe!!!!   [2020-10-03 23:50:45.338000]
modded minecraft, Cringe!!!!!!!   [2020-10-03 23:51:04.332000]
deleting minecraft, Based!   [2020-10-03 23:51:31.554000]
deleting terraria, Cringe....   [2020-10-03 23:52:08.401000]
terraria, Cringe!!!!   [2020-10-03 23:52:33.674000]
installing every mod on the Mod Browser, Based...   [2020-10-03 23:53:43.749000]
crossmap snipes, Based!!!   [2020-10-04 00:00:58.239000]
deleting starbound, Cringe.....   [2020-10-04 00:08:23.226000]
frackin universe, Cringe...   [2020-10-04 00:08:49.740000]
vanilla starbound, Cringe....   [2020-10-04 00:09:04.813000]
shellguard-only modset, Cringe....   [2020-10-04 00:09:30.755000]
dave's bro, Cringe!!   [2020-10-04 00:10:01.117000]
ratlantis, Based!!!!!   [2020-10-04 00:10:49.266000]
thaumcraft, Cringe!!!!   [2020-10-04 00:11:02.035000]
tech mods, Cringe!!!!!!!   [2020-10-04 00:11:12.190000]
magic mods, Based!!!!!   [2020-10-04 00:11:23.815000]
demoniaque's wizardry, Based...   [2020-10-04 00:13:27.235000]
equivalent exchange, Based.   [2020-10-04 00:13:34.499000]
shadow the hedgehog (game), Cringe!!!!!!   [2020-10-04 00:23:50.146000]
coldsteel the hedgehog, Cringe.......   [2020-10-04 00:24:05.100000]
edgier minecraft, Cringe!!!!!!   [2020-10-04 00:24:31.769000]
voxels, Based..   [2020-10-04 00:24:53.475000]
minecraft's lack of story, Based!!!   [2020-10-04 00:25:19.386000]
minecraft's pitiful stat system, Based....   [2020-10-04 00:25:59.625000]
minecraft not being fortnite, Based!!   [2020-10-04 00:26:28.857000]
minecraft lacking something, Based!!!!   [2020-10-04 00:27:13.152000]
minecraft combat, Cringe......   [2020-10-04 00:27:27.078000]
minecraft with guns, Based!!!!   [2020-10-04 00:27:36.260000]
starbound without space, Cringe.   [2020-10-04 00:29:45.955000]
starbound but steampunk, Cringe!!!!!   [2020-10-04 00:30:06.405000]
modded starbound, but only the cheat mods, Cringe.......   [2020-10-04 00:30:37.164000]
Frackin Universe modpack, Based.....   [2020-10-04 00:31:20.800000]
furry mods, Based.....   [2020-10-04 00:40:16.669000]
swag god, Based!!!!!!!   [2020-10-04 00:40:52.946000]
the freedom gun, Cringe!!!!   [2020-10-04 00:42:50.594000]
atom smasher, Cringe!!!!   [2020-10-04 00:43:03.353000]
not using guns in starbound, Based.   [2020-10-04 00:43:30.632000]
using magic in starbound, Based...   [2020-10-04 00:43:43.341000]
FR merging with FU, Cringe!!   [2020-10-04 03:42:40.020000]
fairy-type lumineon variant/evo, Based!!!!!!   [2020-10-04 03:43:59.337000]
dragon-type onix variant/evo, Based.....   [2020-10-04 03:44:56.133000]
dark/fairy-type teddiursa variant/evo, Based.....   [2020-10-04 03:53:59.427000]
regional zubat, Based!!!!   [2020-10-04 03:56:24.159000]
more eeveelutions, Based.....   [2020-10-04 03:57:20.702000]
ghost eeveelution, Cringe!!!   [2020-10-04 04:09:20.747000]
grass/fire sunflora evo, Based...   [2020-10-04 04:10:46.754000]
steel/poison qwilfish evo, Cringe!!!!!!!   [2020-10-04 04:15:31.944000]
water/fire qwilfish evo, Based!!!!   [2020-10-04 04:15:57.214000]
ground-type regional kingler, Based!!!!   [2020-10-04 04:22:28.542000]
